Uso,Genero,Dias,Ida/Vuelta,Hora Cu-Cu2,Hora Cu2-Cu,Satisfaccion,Espera Cu-Cu2,Espera Cu2-Cu,Frecuencia parado
Si,Femenino,5,0,11,13,4,15,30,3
Si,Femenino,5,0,12,13,4,15,30,3
Si,Masculino,5,0,7,15,2,15,0,3
Si,Masculino,5,0,7,14,2,15,0,3
Si,Masculino,5,0,14,15,2,15,0,3
Si,Masculino,5,0,14,14,2,15,0,3
Si,Masculino,5,0,15,15,2,15,0,3
Si,Masculino,5,0,15,14,2,15,0,3
Si,Masculino,5,0,0,15,2,15,0,3
Si,Masculino,5,0,0,14,2,15,0,3
Si,Masculino,4,0,10,15,3,60,60,5
Si,Femenino,5,0,7,11,2,30,60,1
Si,Femenino,5,0,7,15,2,30,60,1
Si,Femenino,5,0,7,16,2,30,60,1
Si,Femenino,5,0,7,14,2,30,45,5
Si,Femenino,4,0,0,14,3,0,45,4
Si,Masculino,5,0,7,13,2,45,30,4
Si,Femenino,5,0,7,16,3,45,60,5
Si,Femenino,5,0,7,12,3,45,60,5
Si,Femenino,5,0,7,14,2,30,60,5
Si,Masculino,5,0,7,18,1,44,60,4
Si,Masculino,5,0,8,18,1,44,60,4
Si,Femenino,5,0,7,17,3,30,60,5
Si,Femenino,5,0,7,18,3,30,60,5
Si,Femenino,5,0,8,17,3,30,60,5
Si,Femenino,5,0,8,18,3,30,60,5
Si,Masculino,5,1,10,12,1,30,60,4
Si,Masculino,5,1,10,14,1,30,60,4
Si,Masculino,5,1,10,15,1,30,60,4
Si,Masculino,5,0,9,14,4,30,60,5
Si,Masculino,5,0,10,14,4,30,60,5
Si,Masculino,5,0,11,14,4,30,60,5
Si,Masculino,5,0,8,14,4,30,60,5
Si,Masculino,5,0,8,12,2,30,45,4
Si,Masculino,5,0,8,14,2,30,45,4
Si,Masculino,5,0,10,12,2,30,45,4
Si,Masculino,5,0,10,14,2,30,45,4
Si,Masculino,5,0,11,12,2,30,45,4
Si,Masculino,5,0,11,14,2,30,45,4
Si,Femenino,5,0,10,15,2,30,60,5
Si,Femenino,5,0,7,15,2,30,60,5
Si,Femenino,5,0,11,15,2,30,60,5
Si,Masculino,5,0,7,14,2,15,45,3
Si,Femenino,5,0,7,17,2,15,30,4
Si,Femenino,5,0,8,17,2,15,30,4
Si,Femenino,5,0,9,17,2,15,30,4
Si,Femenino,5,0,12,15,3,15,30,3
Si,Masculino,5,0,7,15,4,15,45,4
Si,Masculino,5,0,7,17,2,15,45,3
Si,Masculino,5,0,7,16,2,15,45,3
Si,Masculino,5,0,7,13,2,15,45,3
Si,Masculino,5,0,8,17,2,15,45,3
Si,Masculino,5,0,8,16,2,15,45,3
Si,Masculino,5,0,8,14,2,15,45,3
Si,Masculino,5,0,8,13,2,15,45,3
Si,Masculino,5,0,9,17,2,15,45,3
Si,Masculino,5,0,9,16,2,15,45,3
Si,Masculino,5,0,9,14,2,15,45,3
Si,Masculino,5,0,9,13,2,15,45,3
Si,S/G,5,0,7,16,2,30,15,2
Si,S/G,5,0,7,15,2,30,15,2
Si,S/G,5,0,7,17,2,30,15,2
Si,Femenino,5,0,11,18,2,15,29,4
Si,Masculino,5,0,8,14,3,15,30,4
Si,Masculino,5,0,8,16,2,15,30,5
Si,Masculino,5,0,8,18,2,15,30,5
Si,Masculino,5,0,9,16,2,15,30,5
Si,Masculino,5,0,9,18,2,15,30,5
Si,Femenino,5,0,12,14,1,15,60,4
Si,Femenino,5,0,13,14,1,15,60,4
Si,Femenino,5,0,7,14,4,15,45,4
Si,Femenino,5,0,11,14,3,15,30,3
Si,Femenino,5,0,13,14,3,15,30,3
Si,Masculino,5,2,7,14,1,60,60,5
